row,col,slope,aspect_sin,aspect_cos,rain_r7,elevation,river,twi,curvature,label
9024,3608,0.046566565,-0.4472136,-0.8944272,77.27544,0.037585422,0.7726984,0.28351817,0.5025899,1.0
11260,6274,0.14669926,0.9079594,0.41905817,49.012897,0.36332574,0.87453896,0.28103274,0.502522,1.0
11196,6048,0.05602868,-0.37139067,-0.9284767,45.24061,0.356492,0.50691116,0.2865943,0.502634,1.0
11262,6275,0.15375452,0.99778515,0.06651901,49.051903,0.36180714,0.86981803,0.2805834,0.502558,1.0
8581,9758,0.0,-1.0,-1.8369701e-16,16.459915,0.2649962,5.6449724e-05,0.6110364,0.50258005,0.0
5501,1959,0.06573812,-0.31622776,0.9486833,75.83128,0.017463934,0.6193241,0.28296196,0.50260556,0.0
8013,3528,0.10786097,-0.95782626,0.28734788,71.841896,0.2790433,0.88683224,0.28318515,0.50258696,1.0
13741,9648,0.037566602,-0.5547002,0.8320503,18.444353,0.25854215,0.11330696,0.2806416,0.5025858,0.0
3192,1883,0.10540407,0.9805807,0.19611613,48.40857,0.19210327,0.675489,0.2781305,0.50260556,1.0
10005,4678,0.12443163,-0.9103665,-0.41380295,75.266975,0.35801062,0.8604759,0.2863273,0.50257593,1.0
645,5505,0.010430277,1.2246469e-16,-1.0,13.83431,0.20615034,5.1349936e-05,0.28374562,0.50259393,0.0
6336,2333,0.13010348,0.31622776,-0.9486833,75.98956,0.020501139,0.8494767,0.2831092,0.5026073,1.0
12695,6028,0.103393346,-0.6,0.8,64.27762,0.3781321,0.74829495,0.28058594,0.50269026,1.0
9046,9209,0.023314469,-0.4472136,0.8944272,17.039635,0.27942294,0.00048782304,0.2848339,0.50260496,0.0
755,5669,0.020854957,-1.0,-1.8369701e-16,13.744707,0.2072893,4.263343e-05,0.28646412,0.5025835,0.0
5107,5845,0.0,-1.0,-1.8369701e-16,16.65847,0.22968869,0.017789159,0.64174473,0.5025829,0.0
1411,2210,0.032956913,0.9486833,0.31622776,27.988186,0.26993167,0.55456764,0.28501153,0.5025585,0.0
4770,1207,0.0,-1.0,-1.8369701e-16,73.16178,0.009111618,0.7706469,0.6493136,0.50258523,1.0
12106,5752,0.05883972,0.70710677,-0.70710677,71.113495,0.049734246,0.83556175,0.2860655,0.5025835,1.0
7245,1940,0.01474932,-0.70710677,-0.70710677,88.18028,0.013667426,0.9002443,0.28893122,0.50257593,0.0
14423,8029,0.01474932,-0.70710677,-0.70710677,29.217041,0.2881549,0.957763,0.28120357,0.5025823,0.0
11998,10110,0.023314469,0.8944272,-0.4472136,21.18365,0.28473803,0.0027754928,0.29374745,0.50258696,0.0
7530,7480,0.029482823,-0.70710677,-0.70710677,16.6932,0.27296886,0.006146429,0.28106096,0.5025742,0.0
8409,3930,0.0,-1.0,-1.8369701e-16,67.895195,0.22361428,1.0,0.6110364,0.50262815,0.0
12731,5993,0.14496115,0.14142136,0.98994946,66.796646,0.39179954,0.8135989,0.28049028,0.50254405,1.0
4750,6351,0.037566602,0.5547002,-0.8320503,17.243359,0.20121488,0.002746301,0.2808398,0.50259334,0.0
12722,6233,0.14565924,0.7739573,0.6332378,69.56627,0.44950646,0.9096053,0.2794038,0.5025104,1.0
11261,6274,0.12730257,0.9701425,0.24253562,49.032368,0.36408505,0.8719296,0.2822145,0.50251156,1.0
8321,6051,0.023314469,0.8944272,0.4472136,29.115187,0.24183752,0.8919181,0.28790396,0.50257015,0.0
11356,6096,0.15570273,0.3939193,0.91914505,47.70735,0.32687926,0.64380455,0.28437966,0.5025684,1.0
5149,2913,0.037566602,0.5547002,-0.8320503,48.362392,0.22133636,0.7726984,0.2877013,0.5025928,1.0
4009,2503,0.05602868,-0.37139067,-0.9284767,43.283962,0.20121488,0.7286482,0.27878392,0.50251967,1.0
6393,2878,0.079033196,0.91914505,0.3939193,62.12929,0.19893698,0.90353805,0.27869344,0.50256205,1.0
6124,3256,0.06063982,0.51449573,-0.8574929,50.75859,0.21905847,0.83349967,0.2853497,0.5025568,1.0
2174,4825,0.044184793,0.70710677,-0.70710677,15.655255,0.2312073,0.0043560504,0.2783887,0.50256145,0.0
7249,5952,0.023314469,-0.8944272,-0.4472136,22.114594,0.21753986,0.25294554,0.2753998,0.5025475,0.0
2920,5949,0.020854957,1.0,6.123234e-17,17.409447,0.23538345,0.0006247195,0.28740448,0.5025551,0.0
4662,1609,0.032956913,0.31622776,0.9486833,68.722336,0.031131359,0.6258818,0.27582893,0.50256723,0.0
9023,4600,0.14390676,-0.9974587,0.07124705,63.27082,0.24601367,0.8558782,0.28241286,0.50261194,1.0
5346,3970,0.037566602,0.8320503,-0.5547002,30.188412,0.2126044,0.9346827,0.2789652,0.5025992,0.0
622,5049,0.031268463,0.0,1.0,12.481101,0.2156416,0.00014663741,0.28249198,0.5025632,0.0
9024,6118,0.21983603,-0.5010363,-0.8654263,37.56665,0.42255124,0.67167944,0.28333506,0.5025568,1.0
10586,5134,0.17743166,-0.9161573,-0.40081882,74.764336,0.08656036,0.58939874,0.2840064,0.50257134,1.0
4007,2503,0.05602868,0.37139067,0.9284767,43.268272,0.20045558,0.7329004,0.2809698,0.5025644,1.0
14542,8773,0.08361496,0.12403473,-0.99227786,22.402308,0.26385725,0.8403279,0.2822479,0.50260437,0.0
3128,4038,0.010430277,1.2246469e-16,-1.0,17.450266,0.24981017,0.14526905,0.30343693,0.50256085,0.0
5401,3000,0.13089152,0.70710677,0.70710677,49.040745,0.20349279,0.6777145,0.2830384,0.5026479,1.0
14171,6210,0.21186255,0.9954955,-0.09480909,66.7973,0.04669704,0.26029512,0.28321522,0.5026351,1.0
12445,4661,0.21119861,-0.04756515,0.99886817,85.84967,0.034927867,0.9699457,0.27974212,0.5025667,0.0
15381,9576,0.023314469,-0.4472136,0.8944272,22.329678,0.30827639,0.71967506,0.2753998,0.5025754,0.0
9593,6198,0.029482823,0.70710677,-0.70710677,32.649796,0.4160972,0.95849305,0.28106096,0.50259745,1.0
13012,6558,0.12443163,-0.41380295,0.9103665,63.43551,0.35687166,0.9676684,0.28112707,0.50259686,1.0
12506,4961,0.06573812,-0.9486833,-0.31622776,85.32363,0.038724374,0.9669905,0.28457922,0.5026038,1.0
12108,5752,0.120629445,0.9397934,0.34174305,71.1187,0.04859529,0.83080065,0.28073207,0.50264096,1.0
6336,2335,0.09544931,-0.21693046,-0.97618705,75.91629,0.02126044,0.85006,0.28504607,0.50253475,1.0
6311,2408,0.1139827,-0.090535745,-0.9958932,73.79002,0.034927867,0.9730755,0.28397518,0.502609,1.0
14378,6609,0.29099387,-0.03331483,0.9994449,58.38144,0.35269552,0.3314434,0.2814644,0.50258696,0.0
6536,2587,0.16713572,-0.792624,-0.60971075,69.07344,0.19400153,0.78663915,0.2847887,0.5024837,0.0
14189,8839,0.10389993,-0.9950372,-0.09950372,21.489803,0.27069098,0.8796775,0.2830901,0.5025818,0.0
3801,3290,0.046566565,-0.8944272,-0.4472136,28.618153,0.20842825,0.83874124,0.28019682,0.5025916,1.0
8772,6106,0.12525932,0.9863939,-0.16439898,36.64335,0.32687926,0.8795817,0.28143752,0.5025986,0.0
17158,9724,0.09320911,0.0,1.0,0.0,0.6393318,0.01135278,0.2868919,0.5025516,0.0
12453,9690,0.0,-1.0,-1.8369701e-16,21.691992,0.29081246,0.016197884,0.6578094,0.5025736,0.0
11261,6273,0.07343238,0.98994946,0.14142136,49.0323,0.3659833,0.8713682,0.2806919,0.5024901,1.0
9039,3885,0.031268463,1.2246469e-16,-1.0,74.70898,0.2501898,0.37878215,0.2793289,0.5025841,1.0
4878,4267,0.023314469,-0.4472136,0.8944272,20.281923,0.2103265,0.91326606,0.28105673,0.50259745,0.0
